Date,Open,High,Low,Close,Volume,OpenInt
2015-04-30,14.793,14.852,14.714,14.714,39474,0
2015-05-01,14.813,14.891,14.764,14.881,8851,0
2015-05-04,14.96,15.029,14.891,14.921,17296,0
2015-05-05,14.911,14.931,14.685,14.704,81695,0
2015-05-06,14.695,14.695,14.557,14.596,10175,0
2015-05-07,14.557,14.665,14.557,14.633,4594,0
2015-05-08,15.383,15.383,14.773,14.842,2950,0
2015-05-11,14.842,14.842,14.783,14.793,3459,0
2015-05-12,14.881,14.881,14.679,14.695,2233,0
2015-05-13,14.646,14.656,14.646,14.646,712,0
2015-05-14,14.616,14.754,14.616,14.695,3154,0
